model_name,rpm,CMM,CMH,mmAq,Pa,power (kW),63Hz(dB / dB(A)),125Hz(dB / dB(A)),250Hz(dB / dB(A)),500Hz(dB / dB(A)),1kHz(dB / dB(A)),2kHz(dB / dB(A)),4kHz(dB / dB(A)),8kHz(dB / dB(A)),Total_dB / dB(A)
TZAF 1120 FF T2,350,550,33000,25.51020408,250,,0,0,0,0,0,0,0,0,0
TZAF 1120 FF T2,400,666.6666667,40000,32.65306122,320,,0,0,0,0,0,0,0,0,0
TZAF 1120 FF T2,450,750,45000,40.81632653,400,,0,0,0,0,0,0,0,0,0
TZAF 1120 FF T2,500,816.6666667,49000,50,490,,0,0,0,0,0,0,0,0,0
TZAF 1120 FF T2,550,883.3333333,53000,60.20408163,590,,0,0,0,0,0,0,0,0,0
TZAF 1120 FF T2,600,991.6666667,59500,71.42857143,700,,0,0,0,0,0,0,0,0,0
TZAF 1120 FF T2,650,1066.666667,64000,82.65306122,810,,0,0,0,0,0,0,0,0,0
TZAF 1120 FF T2,700,1150,69000,96.93877551,950,,0,0,0,0,0,0,0,0,0
TZAF 1120 FF T2,750,1183.333333,71000,111.2244898,1090,,0,0,0,0,0,0,0,0,0
TZAF 1120 FF T2,800,1266.666667,76000,125.5102041,1230,,0,0,0,0,0,0,0,0,0
TZAF 1120 FF T2,850,1350,81000,142.8571429,1400,,0,0,0,0,0,0,0,0,0
TZAF 1120 FF T2,900,1450,87000,158.1632653,1550,,0,0,0,0,0,0,0,0,0
TZAF 1120 FF T2,950,1533.333333,92000,177.5510204,1740,,0,0,0,0,0,0,0,0,0
TZAF 1120 FF T2,1000,1650,99000,195.9183673,1920,,0,0,0,0,0,0,0,0,0
TZAF 1120 FF T2,1050,1700,102000,215.3061224,2110,,0,0,0,0,0,0,0,0,0
TZAF 1120 FF T2,1100,1783.333333,107000,235.7142857,2310,,104 / 78,105 / 89,104 / 95,99 / 96,95 / 95,90 / 91,85 / 86,80 / 79,110 / 101
TZAF 1120 FF T2,1150,1866.666667,112000,259.1836735,2540,,0,0,0,0,0,0,0,0,0
TZAF 1120 FF T2,1200,1983.333333,119000,283.6734694,2780,,0,0,0,0,0,0,0,0,0
TZAF 1120 FF T2,1250,2033.333333,122000,304.0816327,2980,,0,0,0,0,0,0,0,0,0
