model_name,rpm,CMH,Pa,Area 1(CMH),Area 1(Pa),Area 2(CMH),Area 2(Pa),power (kW),total efficiency (%),static pressure efficiency (%),63Hz(dB / dB(A)),125Hz(dB / dB(A)),250Hz(dB / dB(A)),500Hz(dB / dB(A)),1kHz(dB / dB(A)),2kHz(dB / dB(A)),4kHz(dB / dB(A)),8kHz(dB / dB(A)),Total_dB / dB(A)
TZAF 1120 FF T2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0
TZAF 1120 FF T2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0
TZAF 1120 FF T2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0
TZAF 1120 FF T2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0
TZAF 1120 FF T2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0
TZAF 1120 FF T2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0
TZAF 1120 FF T2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0
TZAF 1120 FF T2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0
TZAF 1120 FF T2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0
TZAF 1120 FF T2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0,0 / 0
TZAF 1120 FF T2,50,5195,4,4642.857142857143,4.761904761904762,6818.181818181819,3.3057851239669422,0.01,84.67,78.96,Oct-36,37 / 21,36 / 27,31 / 28,27 / 27,22 / 23,17 / 18,12월 11일,42 / 33
TZAF 1120 FF T2,50,5330,4,4642.857142857143,4.761904761904762,6818.181818181819,3.3057851239669422,0.01,84.67,78.96,Oct-36,37 / 21,36 / 27,31 / 28,27 / 27,22 / 23,17 / 18,11월 13일,42 / 33
TZAF 1120 FF T2,50,5476,4,4642.857142857143,4.761904761904762,6818.181818181819,3.3057851239669422,0.01,84.67,78.96,Oct-36,37 / 21,36 / 27,31 / 28,27 / 27,22 / 23,17 / 18,11월 14일,42 / 33
TZAF 1120 FF T2,50,5635,4,4642.857142857143,4.761904761904762,6818.181818181819,3.3057851239669422,0.01,84.67,78.96,Oct-36,37 / 21,36 / 27,31 / 28,27 / 27,22 / 23,17 / 18,11월 15일,42 / 33
TZAF 1120 FF T2,50,5808,3,4642.857142857143,4.761904761904762,6818.181818181819,3.3057851239669422,0.01,84.67,78.96,Oct-36,37 / 21,36 / 27,31 / 28,27 / 27,22 / 23,17 / 18,11월 16일,42 / 33
TZAF 1120 FF T2,50,5998,3,4642.857142857143,4.761904761904762,6818.181818181819,3.3057851239669422,0.01,84.67,78.96,Oct-36,37 / 21,36 / 27,31 / 28,27 / 27,22 / 23,17 / 18,11월 17일,42 / 33
TZAF 1120 FF T2,50,6209,3,4642.857142857143,4.761904761904762,6818.181818181819,3.3057851239669422,0.01,84.67,78.96,Oct-36,37 / 21,36 / 27,31 / 28,27 / 27,22 / 23,17 / 18,11월 18일,42 / 33
TZAF 1120 FF T2,50,6443,3,4642.857142857143,4.761904761904762,6818.181818181819,3.3057851239669422,0.01,84.67,78.96,Oct-36,37 / 21,36 / 27,31 / 28,27 / 27,22 / 23,17 / 18,11월 19일,42 / 33
TZAF 1120 FF T2,50,6706,3,4642.857142857143,4.761904761904762,6818.181818181819,3.3057851239669422,0.01,84.67,78.96,Oct-36,37 / 21,36 / 27,31 / 28,27 / 27,22 / 23,17 / 18,11월 20일,42 / 33
TZAF 1120 FF T2,50,7005,2,4642.857142857143,4.761904761904762,6818.181818181819,3.3057851239669422,0.01,84.67,78.96,Oct-36,37 / 21,36 / 27,31 / 28,27 / 27,22 / 23,17 / 18,11월 21일,42 / 33
TZAF 1120 FF T2,100,10390,17,9285.714285714286,19.047619047619047,13636.363636363638,13.223140495867769,0.06,84.67,78.96,51 / 25,52 / 36,51 / 42,46 / 43,42 / 42,37 / 38,32 / 33,27 / 26,57 / 48
